Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
WEB322NEE - Assignment 1,9/11/2024,,9/11/2024,,TRUE,,,TRUE
WEB322NEE - Assignment 2,9/18/2024,,9/18/2024,,TRUE,,,TRUE
WEB322NEE - Test 1,9/18/2024,1:30 PM,9/18/2024,3:30 PM,FALSE,In Class,A2534,TRUE
WEB322NEE - Assignment 3,10/2/2024,,10/2/2024,,TRUE,,,TRUE
WEB322NEE - Test 2,10/2/2024,1:30 PM,10/2/2024,3:30 PM,FALSE,In Class,A2534,TRUE
WEB322NEE - Assignment 4,10/16/2024,,10/16/2024,,TRUE,,,TRUE
WEB322NEE - Test 3,10/16/2024,1:30 PM,10/16/2024,3:30 PM,FALSE,In Class,A2534,TRUE
WEB322NEE - Assignment 5,11/6/2024,,11/6/2024,,TRUE,,,TRUE
WEB322NEE - Test 4,11/6/2024,1:30 PM,11/6/2024,3:30 PM,FALSE,In Class,A2534,TRUE
WEB322NEE - Assignment 6,11/20/2024,,11/20/2024,,TRUE,,,TRUE
WEB322NEE - Test 5,11/20/2024,1:30 PM,11/20/2024,3:30 PM,FALSE,In Class,A2534,TRUE
WEB322NEE - Test 6,12/4/2024,1:30 PM,12/4/2024,3:30 PM,FALSE,In Class,A2534,TRUE